name,price,description,image_url,product_url,category,availability,rating,features
Athletic Mock Neck Long-Sleeve Top – Black,0.00 EGP,أطقم نسائيةAthletic Mock Neck Long-Sleeve Top – Black(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_07_05_08_24_19_athletic-mock-neck-long-sleeve-top-black.jpeg,https://octopios.com/trader/categories/387,,,,[]
White Ribbed Tunic Top – Boho Style Flowy Top,0.00 EGP,فساتين عاديةWhite Ribbed Tunic Top – Boho Style Flowy Top(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_07_07_12_50_09_white-ribbed-tunic-top-boho-style-flowy-top.jpg,https://octopios.com/trader/categories/384,,,,[]
Caramel Brown Blazer & Pants Set – Boho Chic Ensemble,0.00 EGP,أطقم نسائيةCaramel Brown Blazer & Pants Set – Boho Chic Ensemble(0Reviews)0.00 EGP,https://octopios.com/uploads/2025_07_07_01_10_05_caramel-brown-blazer-pants-set-boho-chic-ensemble.jpg,https://octopios.com/trader/categories/387,,,,[]
Caramel Brown Blazer & Pants Set – Boho Chic Ensemble,,Caramel Brown Blazer & Pants Set – Boho Chic Ensemble(0reviews),https://octopios.com/uploads/2025_07_07_01_10_05_caramel-brown-blazer-pants-set-boho-chic-ensemble.jpg,,,,,[]
White Ribbed Tunic Top – Boho Style Flowy Top,,White Ribbed Tunic Top – Boho Style Flowy Top(0reviews),https://octopios.com/uploads/2025_07_07_12_50_09_white-ribbed-tunic-top-boho-style-flowy-top.jpg,,,,,[]
Kids' Comfortable Fuchsia Two-Piece Set,,Kids' Comfortable Fuchsia Two-Piece Set(0reviews),https://octopios.com/uploads/2025_07_05_08_53_46_kids-comfortable-fuchsia-two-piece-set.jpg,,,,,[]
Athletic Mock Neck Long-Sleeve Top – Black,,Athletic Mock Neck Long-Sleeve Top – Black(0reviews),https://octopios.com/uploads/2025_07_05_08_24_19_athletic-mock-neck-long-sleeve-top-black.jpeg,,,,,[]
Gray & Pink Two-Tone Comfort Wear,,Gray & Pink Two-Tone Comfort Wear(0reviews),https://octopios.com/uploads/2025_07_05_07_51_34_gray-pink-two-tone-comfort-wear.jpg,,,,,[]
Grass,,Grass(0reviews),https://octopios.com/uploads/2025_06_27_02_44_13_grass.jpg,,,,,[]
Concept Beauty Anti-Hair Loss Dermo Shot,,Concept Beauty Anti-Hair Loss Dermo Shot(0reviews),https://octopios.com/uploads/2025_06_21_11_48_04_concept-beauty-anti-hair-loss-dermo-shot.PNG,,,,,[]
Advanced Dental Chair Unit,"60,530.81 EGP","Advanced Dental Chair Unit(0reviews)60,530.81 EGP",https://octopios.com/uploads/2025_06_18_10_04_26_advanced-dental-chair-unit.jpg,,,,,[]
Suture Anchor,726.37 EGP,Suture Anchor(0reviews)726.37 EGP,https://octopios.com/uploads/2025_06_16_11_10_14_suture-anchor.jpeg,,,,,[]
Tactical Cargo Pants,726.37 EGP,Tactical Cargo Pants(0reviews)726.37 EGP,https://octopios.com/uploads/2025_06_15_03_44_20_tactical-cargo-pants.jpg,,,,,[]
concept beauty shampoo,,,,,,,,[]
Meso Intense Anti-Hair Loss Shampoo,,,,,,,,[]
booster Diurizide 20 GM,,,,,,,,[]
PLT-UP 100 ml,,,,,,,,[]
Camel Mix 100 ml,,,,,,,,[]
Self-Locking Industrial Tray,,,,,,,,[]
Six Corner Industrial Tray,,,,,,,,[]
utility shirt,,,,,,,,[]
Concept Beauty Anti-Hair Loss Dermo Shot,,,,,,,,[]
